category,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2
Afghanistan,0.016,3.843,0.0,0.15,17.431,7.011,
Albania,1.312,0.789,0.001,0.115,-0.496,2.928,
Algeria,9.555,0.689,15.378,92.546,2.202,59.966,
Andorra,0.0,0.0,0.0,0.008,-0.008,0.416,
Angola,1.201,,3.453,2.006,46.986,14.12,
Anguilla,0.0,,0.0,,,0.145,
Antarctica,0.0,,0.0,,,,
Antigua and Barbuda,0.0,,0.0,,-0.029,0.645,
Argentina,4.853,4.106,2.054,91.051,110.64,93.742,
Armenia,0.492,0.041,0.0,5.51,0.029,1.566,
Aruba,0.0,,0.0,,,0.867,
Australia,2.818,142.666,17.14,74.636,70.094,141.596,4.115
Austria,1.832,10.892,0.08,13.832,-1.648,30.733,1.21
Azerbaijan,1.081,0.0,0.655,29.753,4.609,12.448,
Bahamas,0.0,0.004,0.0,,-0.023,2.501,
Bahrain,0.213,,0.179,33.001,0.0,3.134,
Bangladesh,1.514,23.905,0.031,56.181,18.486,31.796,
Barbados,0.106,,0.011,0.03,-0.032,1.045,
Belarus,2.239,4.394,0.006,32.359,-2.422,16.542,0.951
Belgium,2.456,10.159,0.111,29.335,2.649,39.715,1.593
Belize,0.0,,0.005,0.0,6.048,0.663,
Benin,0.363,0.289,0.0,0.327,2.976,4.614,
Bermuda,0.0,0.0,0.0,,,0.523,
Bhutan,0.438,0.846,0.0,,4.656,0.429,
Bolivia,1.568,0.021,0.076,8.958,59.512,12.736,
Bonaire Sint Eustatius and Saba,0.0,,0.0,,,0.115,
Bosnia and Herzegovina,0.42,14.309,0.0,0.53,-0.946,4.921,
Botswana,0.0,3.783,0.0,0.0,-0.232,2.93,
Brazil,24.963,54.848,17.505,56.329,1302.346,326.432,6.392
British Virgin Islands,0.0,,0.0,,,0.185,
Brunei,0.0,3.109,0.214,5.066,0.738,3.381,
Bulgaria,1.069,14.885,0.563,4.805,-5.346,13.459,1.313
Burkina Faso,1.178,,0.0,,22.749,5.009,
Burundi,0.003,0.054,0.0,,4.725,0.653,
